Fall 12,ANTH 200 002,15352,"Taylor, Christopher M.",24,H1,73,2.24,1.80,2.06,1.61,1.46,1.90,1.94,1.89,1.73,2.35,1.94,2.28,2.07,1.89,71,71,68,71,71,71,71,70,71,71,71,71,71,71,71,66,29
Fall 12,ANTH 201 001,16556,"Mitchell, Beverly M.",98,,,2.41,2.60,2.33,2.05,2.10,2.54,2.67,2.40,2.11,2.38,2.54,3.06,2.56,2.10,87,87,86,86,87,87,87,86,87,87,87,87,85,86,87,84,30
Fall 12,ANTH 203 001,16557,"Camacho, Shannon Y.",73,,,1.62,1.96,1.70,1.86,2.12,2.35,2.25,2.07,1.67,1.84,2.07,1.99,2.19,3.22,69,69,69,69,69,69,68,69,69,69,69,69,68,69,69,50,38
Fall 12,ANTH 205 001,17673,"Fleisher, Jeffrey B.",54,,,1.58,1.64,1.54,1.46,1.50,1.74,1.72,1.59,1.44,1.74,1.94,2.16,1.81,2.34,50,50,48,50,50,50,50,49,48,50,50,50,48,50,50,46,21
Fall 12,ANTH 300 001,10895,"Englebretson, Robert E.",3,A4,37,1.17,1.43,1.11,1.26,1.29,1.34,1.34,1.15,1.24,1.23,1.23,1.43,1.29,2.89,35,35,35,35,35,35,35,34,34,35,35,35,34,35,35,33,18
Fall 12,ANTH 301 001,10843,"McGowan, Kevin B.",2,A3,35,1.82,1.35,1.53,1.18,1.18,1.26,1.26,1.24,1.12,2.00,1.38,1.52,1.53,2.85,34,34,34,34,34,34,34,34,33,34,34,33,34,34,34,29,14
Fall 12,ANTH 312 001,17674,"Fleisher, Jeffrey B.",17,,,1.20,1.27,1.13,1.13,1.33,1.33,1.27,1.13,1.13,1.67,1.67,1.64,1.40,3.07,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,9
Fall 12,ANTH 313 001,15339,"Willis, Christina M.",10,B9,23,1.63,1.68,1.32,1.42,1.37,1.58,1.53,1.53,1.42,1.53,1.89,1.63,1.74,2.89,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,10
Fall 12,ANTH 319 001,17676,"Ranova, Elitza S.",15,,,2.00,2.25,1.42,1.42,1.83,1.67,1.50,1.83,1.58,2.00,2.08,1.67,1.83,3.33,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,5
Fall 12,ANTH 343 001,17678,"Bongmba, Elias K.",10,J1,22,2.20,1.95,1.95,1.50,1.50,1.80,1.65,1.95,1.35,2.90,2.50,2.50,2.20,1.85,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,10
Fall 12,ANTH 348 001,18075,"Ballestero, Andrea",6,,,1.67,2.00,1.67,1.67,1.67,2.00,1.67,2.00,1.00,2.33,2.00,1.33,1.50,3.33,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2
Fall 12,ANTH 395 001,18175,"Vidart Delgado, Maria L.",5,,,1.67,1.67,1.00,1.00,1.00,1.33,1.00,1.00,1.00,1.67,2.33,2.00,2.00,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Fall 12,ANTH 407 001,17873,"Kemmer, Suzanne E.",0,J3,4,2.00,2.25,2.25,2.00,1.25,1.75,1.75,2.00,1.75,2.25,1.75,1.75,2.00,4.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0
Fall 12,ANTH 446 001,17680,"Mitchell, Beverly M.",6,,,1.20,1.20,1.40,1.00,1.00,1.20,1.20,1.20,1.00,1.60,1.20,1.20,1.20,3.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Fall 12,ANTH 490 005,15531,"Ballestero, Andrea",1,,,1.00,1.50,1.00,1.00,1.50,1.00,1.00,1.00,1.00,1.50,2.00,1.00,1.50,3.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Fall 12,ANTH 500 001,11739,"Englebretson, Robert E.",0,T5,3,1.00,1.33,1.00,1.33,1.00,1.67,1.33,1.00,1.00,1.33,1.00,1.33,1.00,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ANTH 501 001,11740,"McGowan, Kevin B.",0,H9,3,2.00,1.67,2.00,1.00,1.67,1.67,1.00,1.67,1.00,1.67,2.00,1.33,2.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ANTH 512 001,17675,"Fleisher, Jeffrey B.",2,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Fall 12,ANTH 513 001,15342,"Willis, Christina M.",0,H5,6,1.67,1.33,1.00,1.00,1.50,1.33,1.50,1.33,1.17,1.67,1.67,1.67,1.50,3.17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Fall 12,ANTH 600 002,10878,"Faubion, James D.",4,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ANTH 600 003,10880,"Georges, Eugenia",3,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Fall 12,ANTH 601 001,14895,"Faubion, James D.",3,,,1.50,1.50,1.00,1.00,1.50,1.50,1.50,1.50,1.50,2.00,1.50,1.50,1.33,3.00,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1
Fall 12,ANTH 616 001,17682,"Faubion, James D.",10,,,1.29,1.29,1.00,1.00,1.14,1.00,1.14,1.14,1.00,1.29,1.29,1.29,1.14,3.43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
Fall 12,ANTH 646 001,17681,"Mitchell, Beverly M.",2,,,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fall 12,ANTH 800 001,10894,"Faubion, James D.",15,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,1.00,3.80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4
Fall 12,ARAB 101 001,10586,"Awad, Maher M.",10,,,1.27,1.64,1.00,1.36,1.55,1.91,1.73,1.36,1.09,1.82,1.55,1.27,1.55,4.36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,2
Fall 12,ARAB 201 001,10589,"Awad, Maher M.",10,,,2.80,3.11,1.80,3.20,2.70,2.90,2.90,3.30,2.90,2.90,2.90,2.30,3.20,3.70,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6
Fall 12,ARAB 301 001,17538,"Awad, Maher M.",3,,,2.67,2.00,2.00,2.00,1.67,1.33,2.00,2.00,1.67,2.33,2.33,1.67,2.33,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Fall 12,ARCH 101 001,17312,"Grenader, Nonya S.",26,,,1.23,1.23,1.08,1.15,1.08,1.15,1.19,1.12,1.12,1.42,1.15,1.35,1.15,3.85,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4
Fall 12,ARCH 101 001,17312,"Samuels, Danny M.",26,,,1.23,1.38,1.12,1.27,1.08,1.12,1.19,1.17,1.15,1.42,1.15,1.35,1.15,3.85,26,26,26,26,26,26,26,24,26,26,26,26,26,26,26,26,4
Fall 12,ARCH 201 001,10565,"Casbarian, John J.",11,,,1.30,1.30,1.10,1.80,1.30,1.10,1.20,1.20,1.10,1.40,1.30,1.20,1.30,5.00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,4
Fall 12,ARCH 201 002,16158,"Manning, Andrea C.",13,,,1.17,1.17,1.25,1.36,1.42,1.25,1.25,1.42,1.25,1.17,1.33,1.17,1.42,5.00,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,3
Fall 12,ARCH 207 001,17295,"Spieler, Christof T.",24,,,1.70,1.70,1.84,2.00,1.85,2.00,1.95,2.00,1.50,2.05,2.30,2.00,2.21,3.21,20,20,19,20,20,20,20,20,20,20,20,20,19,19,20,19,8
Fall 12,ARCH 225 001,17308,"Geiser, Reto",27,,,1.44,1.96,1.19,1.56,1.48,1.52,1.63,1.59,1.41,1.44,1.59,1.56,1.52,3.15,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4
Fall 12,ARCH 225 001,17308,"Roberts, Bryony",27,,,1.19,1.33,1.15,1.48,1.30,1.48,1.59,1.35,1.37,1.44,1.59,1.56,1.52,3.15,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,4
Fall 12,ARCH 301 001,10567,"Hight, Charles C.",9,,,2.00,1.43,1.86,1.43,1.43,1.57,1.50,1.43,1.50,1.57,1.43,1.29,1.43,4.57,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,1
Fall 12,ARCH 301 002,16159,"Vassallo Fernandez, Jesus",10,,,1.43,1.43,1.29,1.29,1.29,1.43,1.43,1.29,1.29,1.29,1.43,1.29,1.43,4.00,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
Fall 12,ARCH 307 001,14021,"Albers, Andrew S.",6,,,1.50,1.17,1.83,1.33,1.33,1.50,1.50,1.17,1.17,1.83,1.83,2.00,1.33,2.83,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,1
Fall 12,ARCH 307 001,14021,"Alfaro, Ernesto D.",6,,,1.50,1.33,1.83,1.33,1.33,1.50,1.33,1.17,1.17,1.83,1.83,2.00,1.33,2.83,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,1
Fall 12,ARCH 311 001,10568,"Fox, David S.",12,,,1.13,1.50,1.00,1.25,1.25,1.38,1.38,1.25,1.00,1.38,1.38,2.25,1.29,2.13,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,3
Fall 12,ARCH 313 001,10569,"Taylor, Rives T.",8,H8,10,1.75,2.00,1.63,1.86,1.75,2.13,1.63,2.13,1.63,2.13,2.00,2.14,1.88,2.13,8,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,4
Fall 12,ARCH 314 001,17318,"Wittenberg, Gordon G.",5,,,2.25,2.75,2.00,1.75,2.25,2.25,3.00,2.25,2.00,2.25,2.75,2.25,2.75,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
Fall 12,ARCH 323 002,18026,"Lopez Duran, Maria Fabiola",2,ZA,7,1.00,1.40,1.00,1.20,1.00,1.00,1.00,1.00,1.00,1.60,1.40,1.40,1.20,3.80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1
Fall 12,ARCH 327 001,17310,"Samuels, Danny M.",17,,,1.64,1.73,1.30,1.55,1.55,1.64,1.55,1.64,1.64,1.92,1.75,1.92,1.67,2.83,11,11,10,11,11,11,11,11,11,12,12,12,12,12,12,12,4
Fall 12,ARCH 327 001,17310,"Grenader, Nonya S.",17,,,1.67,1.58,1.25,1.45,1.42,1.50,1.50,1.50,1.50,1.92,1.75,1.92,1.67,2.83,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,4
Fall 12,ARCH 332 001,17983,"Hamadeh, Shirine T.",0,98,4,1.50,1.75,1.00,1.50,1.25,1.50,2.00,1.75,1.50,1.75,1.75,1.50,1.75,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
Fall 12,ARCH 344 001,18190,"Parsons, Spencer W.",3,,,1.00,2.50,1.50,1.50,2.00,1.50,1.50,1.50,1.50,2.00,1.50,2.00,2.00,2.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Fall 12,ARCH 353 001,10574,"White, Frank S.",7,,,1.00,1.00,1.00,1.00,1.00,1.00,1.14,1.00,1.00,1.14,1.00,1.29,1.00,2.86,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4
Fall 12,ARCH 366 001,17777,"El-Dahdah, Fares",7,A9,16,1.60,1.33,1.40,1.47,1.47,1.60,1.60,1.53,1.40,1.93,1.67,1.67,1.67,2.73,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8
Fall 12,ARCH 366 001,17777,"Metcalf, Alida C.",7,A9,16,1.60,1.67,1.40,1.73,1.87,1.87,1.86,1.73,1.60,1.93,1.67,1.67,1.67,2.73,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,8
Fall 12,ARCH 377 001,17218,"Schaum, Robert T.",6,,,1.83,2.33,2.33,1.83,2.17,2.17,2.00,2.60,2.17,2.67,2.00,2.33,2.83,3.33,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,3
Fall 12,ARCH 401 001,10575,"Pope, Albert H.",11,,,1.73,1.45,1.36,1.27,1.30,1.27,1.27,1.27,1.18,1.64,1.36,1.18,1.27,4.55,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,4
Fall 12,ARCH 401 002,16160,"Alford, Grant",11,,,1.18,1.36,1.09,1.27,1.18,1.18,1.36,1.09,1.18,1.09,1.18,1.09,1.09,5.00,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,5
Fall 12,ARCH 403 001,17313,"Vassallo Fernandez, Jesus",13,,,1.45,1.73,1.18,1.40,1.55,1.82,2.00,1.73,1.45,1.64,1.73,1.73,1.82,3.27,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,3
Fall 12,ARCH 403 002,17314,"Roberts, Bryony",18,,,1.13,1.13,1.13,1.20,1.13,1.13,1.13,1.07,1.13,1.07,1.20,1.27,1.20,3.13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,6
Fall 12,ARCH 412 002,17976,"Stevens, Sara K.",4,,,1.00,1.00,1.00,1.67,1.33,1.67,1.00,1.00,1.00,1.33,1.67,1.00,1.33,3.67,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1
Fall 12,ARCH 423 001,14956,"Fleishacker, Alan L.",7,,,1.40,1.80,1.20,1.20,1.20,1.40,1.60,1.60,1.00,1.60,1.60,1.50,1.60,2.40,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1
Fall 12,ARCH 431 001,16219,"Lerup, Lars G.",10,,,1.56,1.44,1.33,1.44,1.78,1.67,1.56,1.67,1.33,1.78,2.11,2.33,1.78,2.00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5
Fall 12,ARCH 433 001,16223,"Whiting, Sarah",8,,,1.43,1.43,1.33,1.43,1.43,1.29,1.29,1.29,1.43,1.43,1.43,1.43,1.43,3.43,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3
Fall 12,ARCH 455 002,17303,"Lord, Tom F.",8,,,1.71,1.86,1.43,2.00,1.43,1.71,1.71,1.71,1.14,1.71,2.00,1.86,1.86,2.29,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
Fall 12,ARCH 500 001,10584,"Casbarian, John J.",16,,,1.29,1.43,1.14,1.29,1.29,1.29,1.29,1.29,1.14,1.14,1.43,1.14,1.00,3.43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4
Fall 12,ARCH 501 001,10585,"Witte, Ronald R.",12,,,1.10,1.30,1.20,1.40,1.30,1.70,1.10,1.40,1.10,1.40,1.30,1.20,1.20,4.30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,3
Fall 12,ARCH 503 001,10588,"Jimenez, Carlos",8,,,1.67,1.67,2.17,1.50,1.17,1.83,1.50,1.67,1.33,1.67,1.40,1.50,1.50,4.17,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,1
Fall 12,ARCH 503 002,16161,"Finley, Dawn M.",9,,,1.25,1.13,1.13,1.38,1.13,1.25,1.13,1.13,1.00,1.13,1.75,1.50,1.38,3.75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
Fall 12,ARCH 507 001,10591,"Spieler, Christof T.",12,,,1.91,1.73,1.73,1.73,1.82,2.00,2.00,2.00,1.36,2.00,2.55,1.82,2.36,2.82,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,3
Fall 12,ARCH 514 001,17319,"Wittenberg, Gordon G.",12,,,2.00,2.22,1.89,1.44,2.00,2.00,2.25,2.00,1.67,2.00,2.33,2.44,1.89,2.89,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,1
Fall 12,ARCH 523 001,18030,"Hamadeh, Shirine T.",0,ZC,4,1.25,1.50,1.25,1.00,1.00,1.00,1.00,1.25,1.25,1.75,1.50,1.00,1.75,3.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Fall 12,ARCH 523 002,18028,"Lopez Duran, Maria Fabiola",0,ZB,2,1.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Fall 12,ARCH 523 003,18146,"Moorhead, Gerald L.",3,,,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fall 12,ARCH 525 001,17309,"Geiser, Reto",11,,,1.00,1.20,1.00,1.10,1.20,1.30,1.10,1.00,1.00,1.00,1.50,1.40,1.20,3.00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
Fall 12,ARCH 525 001,17309,"Roberts, Bryony",11,,,1.00,1.00,1.00,1.10,1.00,1.20,1.20,1.00,1.10,1.00,1.50,1.40,1.20,3.00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
Fall 12,ARCH 533 001,17064,"Finley, Dawn M.",14,,,1.13,1.00,1.38,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.25,1.25,4.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3
Fall 12,ARCH 601 001,10595,"Cannady, William T.",8,,,1.71,1.71,1.14,1.29,1.14,1.14,1.29,1.14,1.14,1.71,1.00,1.14,1.14,4.29,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
Fall 12,ARCH 601 002,10613,"Schaum, Robert T.",11,,,1.43,1.14,1.71,1.43,1.14,1.43,1.57,1.57,1.57,1.86,1.57,1.43,1.43,4.43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
Fall 12,ARCH 601 003,10616,"Oliver, Douglas E.",11,,,2.00,2.13,2.00,1.63,1.50,1.75,1.88,1.88,1.75,1.88,1.75,1.88,1.88,4.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3
Fall 12,ARCH 601 004,12133,"Wamble, Mark S.",10,,,1.50,1.33,1.50,1.33,1.33,1.67,1.33,1.50,1.33,1.67,1.67,1.33,1.50,3.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3
Fall 12,ARCH 607 001,14022,"Alfaro, Ernesto D.",4,,,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,2.00,2.67,2.33,2.00,2.67,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1
Fall 12,ARCH 607 001,14022,"Albers, Andrew S.",4,,,1.67,1.67,1.67,1.00,1.33,1.67,1.67,1.33,1.33,2.00,2.67,2.33,2.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Fall 12,ARCH 610 001,10618,"Casbarian, John J.",9,,,1.67,1.67,1.33,1.67,1.33,1.33,1.67,1.33,1.67,2.00,1.33,1.33,1.33,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
Fall 12,ARCH 611 001,10622,"Fox, David S.",3,,,1.33,1.33,1.00,1.00,1.00,1.33,1.33,1.00,1.00,1.00,1.67,1.33,1.33,3.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ARCH 612 001,17975,"May, John J.",15,,,2.00,1.71,1.86,1.57,1.71,2.14,1.71,1.71,1.29,2.43,2.43,2.14,2.14,3.71,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
Fall 12,ARCH 612 002,17977,"Stevens, Sara K.",5,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Fall 12,ARCH 620 001,10637,"Casbarian, John J.",9,,,2.00,1.67,2.00,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.33,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
Fall 12,ARCH 623 001,14957,"Fleishacker, Alan L.",10,,,1.25,1.50,1.00,1.00,1.25,1.50,1.25,1.13,1.00,1.25,1.38,1.63,1.38,2.75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2
Fall 12,ARCH 631 001,16220,"Lerup, Lars G.",9,,,1.67,1.44,1.44,1.78,1.89,1.78,1.56,1.44,1.22,2.00,2.00,2.13,2.22,1.89,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,1
Fall 12,ARCH 633 001,16224,"Whiting, Sarah",6,,,1.20,1.40,1.00,1.20,1.00,1.00,1.25,1.00,1.00,1.20,1.20,1.20,1.20,3.20,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,0
Fall 12,ARCH 644 001,18191,"Parsons, Spencer W.",3,,,2.00,3.00,2.00,2.00,2.50,2.00,2.50,3.00,2.50,2.00,2.00,2.50,3.00,2.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Fall 12,ARCH 646 001,18033,"Colman, Scott W.",19,C4,19,1.06,1.25,1.38,1.13,1.27,1.19,1.13,1.06,1.06,1.25,1.50,1.19,1.06,4.06,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,5
Fall 12,ARCH 653 001,10660,"White, Frank S.",10,,,1.11,1.22,1.11,1.11,1.00,1.22,1.33,1.11,1.11,1.22,1.00,1.22,1.11,2.67,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
Fall 12,ARCH 673 001,17219,"Schaum, Robert T.",6,,,2.00,2.00,1.50,1.25,2.00,1.50,1.50,1.50,1.50,2.00,2.00,1.33,1.75,3.00,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1
Fall 12,ARCH 691 001,13964,"Cannady, William T.",3,,,2.00,2.00,1.67,1.67,1.67,2.00,2.00,1.67,1.67,1.67,1.67,1.67,1.67,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ARCH 691 001,13964,"Duarte, Jefferson",3,,,1.67,2.00,2.00,1.67,1.67,2.00,1.67,1.67,1.67,1.67,1.67,1.67,1.67,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fall 12,ARCH 693 001,17330,"Pope, Albert H.",9,,,1.75,1.75,1.63,1.63,1.75,1.63,1.75,1.63,1.63,1.75,1.75,1.88,1.63,3.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,3
Fall 12,ARCH 703 001,10699,"Colman, Scott W.",12,,,1.43,1.57,1.43,1.43,1.57,1.71,1.43,1.43,1.57,1.86,1.86,1.00,1.71,4.71,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7
Fall 12,ARCH 711 001,10702,"Wittenberg, Gordon G.",7,,,1.83,1.67,1.67,1.83,1.67,1.67,1.83,1.67,1.50,1.67,1.67,1.50,1.50,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3
Fall 12,ARCR 515 001,18172,"Alvarez, Mariola V.",2,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
Fall 12,ARTS 103 001,17527,"Beradino, Mike A.",6,,,2.00,2.50,2.25,1.75,2.25,2.50,2.00,2.50,2.00,2.50,1.75,1.75,2.25,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Fall 12,ARTS 103 001,17527,"Sperandio, Christopher J.",6,,,2.00,2.50,2.00,2.50,3.00,2.25,2.25,2.50,2.00,2.50,1.75,1.75,2.25,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Fall 12,ARTS 225 001,12283,"Johnson, Anna E.",14,,,1.62,1.92,1.46,1.62,1.62,1.38,1.77,1.69,1.54,1.54,1.77,1.54,1.69,2.54,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,8
