,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
Fall 04,ANTH 314 001, Hannah Landecker,22,1.53,2.12,1.88,1.59,1.76,1.94,2.06,2.06,1.59,2.47,2.38,2.21,2.06,3.65,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
Fall 04,ANTH 316 001, Anthony Potoczniak,21,2.12,2.71,1.88,1.65,1.76,2.12,2.35,2.24,1.82,2.65,2.29,2.47,2.53,3.00,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,
Fall 04,ANTH 316 001, Sherife Samli,21,2.00,2.71,1.94,1.76,1.82,2.18,2.29,2.47,2.06,2.88,2.35,2.53,2.47,3.06,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,
Fall 04,ANTH 368 001, Richard Nisbett,13,1.08,1.50,1.17,1.25,1.17,1.50,1.42,1.33,1.17,1.50,1.50,1.67,1.50,2.83,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,ANTH 383 001, Richard Nisbett,14,1.08,1.69,1.08,1.23,1.15,1.38,1.38,1.31,1.23,1.15,1.77,2.15,1.38,2.38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,ANTH 402 001, Suzanne Kemmer,0,4.33,4.00,2.78,2.22,2.33,2.33,3.22,3.56,2.56,5.00,3.11,3.56,3.89,2.56,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ANTH 404 011, Richard Nisbett,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ANTH 407 001, Robert Englebretson,0,1.67,1.50,1.00,1.33,1.50,1.50,1.67,1.50,1.17,1.67,1.67,1.50,1.50,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,ANTH 414 001, Stephen Tyler,4,1.40,1.80,2.00,1.20,1.20,1.60,1.80,1.40,1.00,2.20,1.60,1.80,1.60,2.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,
Fall 04,ANTH 440 001, Hannah Landecker,9,1.10,1.10,1.10,1.10,1.00,1.10,1.00,1.10,1.00,1.20,1.30,1.30,1.00,4.00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,
Fall 04,ANTH 513 001, Stephen Tyler,1,2.25,3.13,2.25,2.44,2.06,3.25,3.38,2.94,1.25,2.63,2.94,3.13,2.94,2.63,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,
Fall 04,ANTH 600 001, Hannah Landecker,4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,
Fall 04,ANTH 600 002, Susan Ossman,4,1.75,2.00,1.25,1.25,1.50,1.50,1.75,1.75,1.75,2.25,1.50,1.50,1.75,4.00,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,
Fall 04,ANTH 600 007, Cristopher Kelty,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
Fall 04,ANTH 601 001, James Faubion,5,1.20,1.20,1.20,1.20,1.40,1.40,1.40,1.40,1.20,1.60,1.40,1.40,1.60,4.00,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,
Fall 04,ANTH 605 001, Christopher Kelty,8,1.00,1.20,1.00,1.20,1.20,1.20,1.00,1.60,1.20,1.20,1.40,1.40,1.60,3.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,
Fall 04,ANTH 640 001, Hannah Landecker,3,1.10,1.10,1.10,1.10,1.00,1.10,1.00,1.10,1.00,1.20,1.30,1.30,1.00,4.00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,
Fall 04,ANTH 657 001, Thomas Chivens,2,1.75,2.75,1.50,1.25,1.50,1.75,2.25,1.50,1.50,2.50,2.50,2.50,2.25,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,
Fall 04,ARAB 101 001, Aman Attieh,22,1.85,2.35,2.10,2.05,2.30,2.70,2.25,2.00,1.58,2.30,2.15,1.90,2.10,3.40,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,
Fall 04,ARAB 201 001, Aman Attieh,6,3.20,4.20,3.00,2.60,3.00,3.00,3.40,3.60,1.75,3.80,3.00,2.60,3.40,3.20,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,
Fall 04,ARAB 301 001, Aman Attieh,4,1.25,1.25,1.50,1.00,1.25,1.50,1.50,1.25,1.00,1.50,1.25,1.25,1.25,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,ARAB 398 001, Aman Attieh,1,3.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ARCH 101 001, Nonya Grenader,24,1.32,1.48,1.45,1.18,1.23,1.09,1.09,1.41,1.23,1.27,1.32,1.09,1.23,4.05,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
Fall 04,ARCH 101 001, Danny M. Samuels,24,1.41,1.86,1.45,1.45,1.36,1.14,1.14,1.55,1.24,1.24,1.38,1.10,1.24,4.10,22,22,22,22,22,21,22,22,21,21,21,21,21,21,21,21,
Fall 04,ARCH 201 001, Douglas Oliver,22,1.52,1.76,2.52,1.43,1.62,1.29,1.29,1.33,1.24,1.81,1.43,1.24,1.24,4.95,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,
Fall 04,ARCH 201 001, James Ray ,22,1.52,1.76,2.52,1.43,1.62,1.33,1.24,1.38,1.19,1.81,1.48,1.24,1.24,4.95,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,
Fall 04,ARCH 301 001, Sean Lally,22,2.35,2.65,3.05,2.60,2.90,2.32,2.45,2.45,2.15,2.20,1.90,1.30,1.80,5.00,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,
Fall 04,ARCH 301 001, Charles C. Hight ,22,2.15,2.35,3.30,3.05,3.20,1.79,2.00,2.45,1.70,2.05,1.80,1.20,1.75,5.00,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,
Fall 04,ARCH 311 001, David Fox,22,1.27,1.91,1.64,1.55,1.82,2.36,2.27,1.91,1.18,1.82,1.82,2.18,1.91,2.55,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,
Fall 04,ARCH 313 001, Rives Taylor,18,2.13,3.53,2.00,2.20,2.53,2.87,2.73,2.53,1.87,2.67,2.67,3.27,2.60,2.33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,
Fall 04,ARCH 316 001, Mark Oberholzer,23,2.20,2.45,2.45,2.25,2.20,3.00,2.65,2.20,2.05,2.50,3.00,2.90,2.60,2.80,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,
Fall 04,ARCH 325 001, Shirine Hamadeh,2,1.43,2.00,1.57,2.71,2.86,2.14,1.43,2.29,1.57,2.29,2.71,2.43,2.00,3.00,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,ARCH 327 001, Nonya Grenader,10,2.44,2.78,1.89,1.89,2.11,2.89,3.00,2.44,2.00,3.33,2.56,2.67,2.67,2.89,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ARCH 327 001, Danny Samuels,10,2.44,2.78,1.89,1.89,2.11,2.89,3.00,2.44,2.00,3.33,2.56,2.67,2.67,2.89,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ARCH 344 001, Spencer Parsons,9,2.40,3.20,2.70,2.00,2.20,2.40,2.50,2.60,1.90,2.70,2.30,2.20,2.50,3.30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,ARCH 345 001, Helene Furjan,35,2.44,3.48,2.88,2.56,2.76,3.20,2.96,3.20,1.68,2.96,3.68,3.00,3.16,3.04,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,
Fall 04,ARCH 349 001, John Biln,0,1.71,2.00,1.43,1.50,1.86,1.43,1.50,1.57,1.21,1.79,1.64,1.71,1.86,3.57,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,
Fall 04,ARCH 353 001, Frank White,7,1.69,2.15,1.54,1.38,1.54,1.31,1.46,1.54,1.38,1.69,1.46,1.54,1.62,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,
Fall 04,ARCH 425 001, John Biln,0,1.00,1.67,1.00,1.00,2.00,1.33,1.00,1.00,1.33,3.00,1.50,1.33,1.33,3.67,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,
Fall 04,ARCH 483 001, Nana Last,10,1.33,1.70,1.64,1.94,2.15,2.09,1.73,1.61,1.55,1.55,1.88,1.45,1.58,3.73,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,
Fall 04,ARCH 485 001, Charles Hight,2,1.92,3.08,2.31,2.23,2.08,2.46,1.85,2.46,1.50,2.85,2.77,2.23,2.62,3.17,13,13,13,13,13,13,13,13,12,13,13,13,13,12,13,12,
Fall 04,ARCH 501 001, David Guthrie,12,4.00,4.56,5.56,4.89,4.33,3.33,2.78,4.00,2.33,4.56,2.89,1.89,3.33,4.25,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,6,
Fall 04,ARCH 501 001, Blair Satterfield ,12,2.33,2.25,2.22,1.44,1.56,2.11,2.33,2.00,1.89,2.78,2.22,1.78,2.44,3.44,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,5,
Fall 04,ARCH 503 001, Robert E. Mangurian,20,2.15,2.00,1.69,1.69,1.31,1.23,1.23,1.46,1.75,2.46,2.08,1.38,1.38,4.38,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,10,
Fall 04,ARCH 503 001, Mary-Ann Ray ,20,2.15,2.00,1.69,1.69,1.31,1.23,1.23,1.46,1.75,2.46,2.23,1.38,1.38,4.38,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,10,
Fall 04,ARCH 516 001, Mark Oberholzer,14,2.20,2.45,2.45,2.25,2.20,3.00,2.65,2.20,2.16,2.50,3.00,2.90,2.60,2.80,20,20,20,20,20,20,20,20,19,20,20,20,20,20,19,20,
Fall 04,ARCH 549 001, John Biln,18,1.71,2.00,1.43,1.50,1.86,1.36,1.50,1.57,1.21,1.79,1.64,1.71,1.86,3.57,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,
Fall 04,ARCH 601 004, Vincent Snyder,11,2.38,3.88,2.88,3.88,4.00,4.25,3.75,4.00,3.50,3.88,4.25,4.38,4.25,4.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,ARCH 605 001, Michael Hensel,1,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ARCH 605 001, Achim Menges,1,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ARCH 611 001, David Fox,11,1.27,1.91,1.64,1.55,1.82,2.36,2.27,1.91,1.18,1.82,1.82,2.18,1.91,2.55,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,
Fall 04,ARCH 613 001, Rives Taylor,11,2.13,3.53,2.00,2.20,2.53,2.87,2.73,2.53,1.87,2.67,2.67,3.27,2.60,2.33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
Fall 04,ARCH 616 001, Mark Oberholzer,0,2.20,2.45,2.45,2.25,2.20,3.00,2.65,2.20,2.05,2.50,3.00,2.90,2.60,2.80,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,ARCH 625 001, John Biln,2,1.00,1.67,1.00,1.00,2.00,1.33,1.00,1.00,1.33,3.00,1.67,1.33,2.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,
Fall 04,ARCH 627 001, Danny Samuels,10,2.11,2.44,1.44,1.11,1.44,1.44,1.67,1.56,1.33,3.00,2.29,2.44,2.00,3.00,18,18,18,18,18,18,18,18,18,18,14,18,18,18,18,16,
Fall 04,ARCH 627 001, Danny Samuels,10,2.11,2.44,1.44,1.11,1.44,1.44,1.67,1.56,1.33,3.00,2.29,2.44,2.00,3.00,18,18,18,18,18,18,18,18,18,18,14,18,18,18,18,16,
Fall 04,ARCH 635 001, Laura Koehler,12,1.00,1.33,1.00,1.17,1.17,2.00,1.33,1.33,1.40,1.67,1.67,1.67,1.33,3.17,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,
Fall 04,ARCH 635 001, Peter Koehler,12,1.00,1.33,1.00,1.17,1.17,2.00,1.33,1.33,1.40,1.67,1.67,1.67,1.33,3.17,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,
Fall 04,ARCH 644 001, Spencer Parsons,3,2.40,3.20,2.70,2.00,2.20,2.40,2.50,2.60,1.90,2.70,2.30,2.20,2.50,3.30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,ARCH 645 001, Helene Furjan,2,2.44,3.48,2.88,2.56,2.76,3.20,2.96,3.20,1.68,2.84,3.68,3.00,3.16,3.04,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
Fall 04,ARCH 653 001, Frank White,10,1.69,2.15,1.54,1.38,1.54,1.31,1.46,1.54,1.38,1.69,1.46,1.54,1.62,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,
Fall 04,ARCH 683 001, Nana Last,25,1.33,1.70,1.64,1.94,2.15,2.09,1.73,1.61,1.55,1.55,1.88,1.45,1.58,3.73,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,
Fall 04,ARCH 685 001, Charles Hight,13,1.92,3.08,2.31,2.23,2.08,2.46,1.85,2.46,1.42,2.85,2.77,2.23,2.62,3.17,13,13,13,13,13,13,13,13,12,13,13,13,13,12,13,12,
Fall 04,ARCH 703 001, Helene Furjan,26,4.00,4.13,4.00,2.93,3.40,2.64,3.15,3.64,2.87,5.27,4.15,2.87,4.27,4.50,15,15,15,15,15,14,13,14,15,15,13,15,15,14,15,14,
Fall 04,ARTV 205 002, Paul Hester,22,2.22,2.28,1.44,1.22,1.56,1.17,1.67,1.83,1.56,2.39,1.89,1.61,1.67,3.33,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,
Fall 04,ARTV 225 001, Basilios Poulos,18,1.67,1.87,1.40,1.93,1.73,1.33,1.47,1.60,1.47,1.87,1.67,1.33,1.47,2.57,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,11,
Fall 04,ARTV 225 002, Darra Keeton,21,2.00,1.45,1.73,1.64,1.55,1.36,1.27,1.64,1.55,1.82,1.36,1.18,1.36,2.55,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,
Fall 04,ARTV 225 003, George Smith,13,3.00,3.11,2.22,2.00,1.78,2.44,2.89,3.22,3.33,2.89,2.44,2.56,2.56,2.00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ARTV 225 004, Angela Fraleigh,11,1.70,1.80,1.20,1.10,1.10,1.60,2.00,1.50,1.40,1.90,1.30,1.60,1.70,2.30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,ARTV 225 004, Angela Fraleigh,11,1.70,1.80,1.20,1.10,1.10,1.60,2.00,1.50,1.40,1.90,1.30,1.60,1.70,2.30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,ARTV 311 001, Karin Broker,6,1.83,2.17,1.83,2.33,2.33,2.00,2.50,2.17,1.67,2.00,2.33,1.83,2.00,3.17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,
Fall 04,ARTV 313 001, Gary Feuge,7,1.50,1.50,1.00,1.25,1.50,1.00,1.25,1.50,1.50,2.25,1.25,1.25,1.75,3.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,ARTV 323 001, Darra Keeton,12,1.82,1.73,1.27,1.27,1.55,1.55,1.73,1.55,1.27,1.82,1.40,1.64,1.36,3.36,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,9,
Fall 04,ARTV 325 001, Basilios Poulos,11,1.82,1.64,1.45,1.18,1.36,1.18,1.36,1.36,1.45,1.82,1.44,1.36,1.55,2.45,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,10,
Fall 04,ARTV 327 001, Brian Huberman,5,1.80,2.00,2.00,1.80,2.20,1.80,2.00,2.20,1.80,2.60,2.60,1.80,2.00,3.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,
Fall 04,ARTV 328 001, Brian Huberman,9,2.33,2.11,2.56,1.56,1.67,1.89,1.56,1.67,1.44,3.33,2.56,1.67,1.56,2.44,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ARTV 345 001, Geoffrey Winningham,12,1.30,1.40,1.10,1.20,1.10,1.10,1.00,1.20,1.20,1.40,1.30,1.10,1.30,2.90,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,ARTV 365 001, George Smith,12,2.00,2.00,2.60,1.90,1.30,1.11,1.70,1.89,1.70,2.10,1.50,1.70,1.50,2.90,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,9,
Fall 04,ARTV 381 001, Paul Hester,12,2.58,3.27,1.67,1.08,1.42,1.08,1.75,2.18,2.08,3.50,2.08,2.17,2.17,2.33,12,11,12,12,12,12,12,11,12,12,12,12,12,12,12,12,
Fall 04,ARTV 393 001, Basilios Poulos,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ARTV 395 001, Paul Hester,2,1.50,1.50,1.00,1.00,1.00,1.00,1.00,1.50,1.50,2.00,1.00,1.00,2.00,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,ARTV 397 001, George Smith,3,3.00,1.50,3.00,1.00,1.50,1.00,1.00,1.50,2.50,3.50,1.50,1.00,1.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,ARTV 457 001, George Smith,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,ARTV 475 001, Darra Keeton,9,2.33,1.89,2.00,1.11,1.22,1.11,1.11,1.25,1.22,2.33,2.22,1.25,1.22,3.89,9,9,9,9,9,9,9,8,9,9,9,8,9,9,9,9,
Fall 04,ASIA 211 001, Anne Klein,31,1.78,2.78,1.90,1.84,1.80,2.20,2.67,2.24,1.31,3.43,3.10,3.06,2.59,3.04,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,
Fall 04,ASIA 211 001, Richard Smith ,31,1.78,2.78,1.90,1.84,1.80,2.20,2.67,2.24,1.31,3.43,3.10,3.06,2.59,3.04,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,
Fall 04,ASIA 211 001, Sarah Thal,31,1.78,2.78,1.90,1.84,1.80,2.20,2.67,2.24,1.31,3.43,3.10,3.06,2.59,3.04,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,
Fall 04,ASIA 235 001, David Gray,3,1.50,2.07,1.21,1.07,1.29,1.86,1.86,1.64,1.36,1.93,2.07,2.43,1.86,2.93,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
Fall 04,ASIA 332 001, Nanxiu Qian,3,1.33,1.33,1.00,1.00,1.33,2.00,1.00,1.33,1.00,1.67,1.67,2.33,1.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,
Fall 04,ASIA 335 001, Nanxiu Qian,8,1.44,1.67,1.22,1.22,1.33,1.44,1.56,1.56,1.11,1.56,1.44,1.67,1.33,2.78,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,ASTR 100 001, Edison Liang,5,1.80,2.20,1.60,1.40,1.40,1.40,2.00,1.80,1.20,1.80,1.40,1.80,2.00,2.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,ASTR 201 001, Uwe Oberlack,61,2.33,4.03,2.67,3.13,3.05,3.79,3.66,3.73,2.42,2.72,2.97,3.33,3.64,3.05,39,39,39,39,39,39,38,37,38,39,39,39,39,39,39,39,
Fall 04,ASTR 202 001, Giovanni Fossati,48,1.92,2.84,2.04,2.00,2.16,3.24,3.12,2.84,2.08,2.28,2.56,3.48,2.84,2.56,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
Fall 04,ASTR 221 001, Reginald Dufour,6,1.25,1.25,1.00,1.00,1.00,1.25,1.50,1.00,1.00,1.50,1.00,1.25,1.00,2.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,ASTR 350 001, Matthew Baring,4,2.50,4.00,2.50,4.75,3.25,3.25,3.50,4.25,3.50,3.25,3.75,3.25,3.75,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,ASTR 400 001, Edison Liang,4,2.80,2.60,3.00,2.60,2.60,2.60,2.60,2.60,2.60,2.80,3.00,3.40,2.80,1.40,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,
Fall 04,ASTR 451 001, Christopher Johns-Krull,6,2.25,2.88,2.00,1.75,1.88,2.50,2.38,2.50,1.88,2.25,2.75,1.88,2.38,4.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,ASTR 500 001, Edison Liang,6,2.80,2.60,3.00,2.60,2.60,2.60,2.60,2.60,2.60,2.80,2.40,3.40,2.80,1.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,
Fall 04,ASTR 551 001, Christopher Johns-Krull,5,2.25,2.88,2.00,1.75,1.88,2.50,2.38,2.50,1.88,2.25,2.75,1.88,2.38,4.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,ASTR 554 001, David Alexander,4,1.75,2.00,2.00,2.00,1.75,2.50,1.75,2.25,1.75,2.25,2.25,2.50,2.25,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,BAKE 121 001, Nam Nguyen,6,1.00,1.33,1.00,1.00,1.00,1.33,1.33,1.33,1.00,1.83,1.67,2.50,1.17,1.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,BIOE 252 001, Ka-Yiu San,39,2.23,3.94,2.03,3.00,2.61,3.17,3.74,3.97,2.32,3.13,2.77,2.70,3.17,4.10,31,31,31,31,31,30,31,31,31,30,30,30,30,31,31,30,
Fall 04,BIOE 252 001, Ella Saterbak,39,1.43,1.89,1.39,1.68,1.83,2.11,2.14,1.81,1.53,1.92,2.32,1.92,2.37,4.28,37,36,36,37,36,36,35,36,36,36,37,36,35,36,36,32,
Fall 04,BIOE 321 001, Ka-Yiu San,40,2.48,3.40,2.17,2.54,2.56,2.96,2.76,3.16,2.16,2.72,2.36,3.12,2.76,2.80,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,23,
